task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,std_degradation,ci95_low,ci95_high,positive_rate,expected_direction,p_expected_direction,q_expected_direction,supports_expected
classification,pr_auc,torch_mlp,cliffs,1.0,81,0.02947455604460975,0.017479246223896405,0.045765774500564176,0.019507787375597996,0.0394413247136215,0.8271604938271605,degrade,2.1117614855779282e-10,4.4625903091458107e-10,True
classification,pr_auc,torch_mlp,conflicts,0.01,81,0.00831391498567783,0.008057859277779023,0.012805383660745623,0.0055251869884487825,0.011102642982906877,0.7037037037037037,degrade,3.8793536017379287e-07,6.266648125884346e-07,True
classification,pr_auc,torch_mlp,conflicts,0.02,81,0.013760748105703744,0.013958412260392405,0.015485663607125777,0.010388314697929685,0.017133181513477803,0.8271604938271605,degrade,7.783914542971959e-10,1.5661049619392685e-09,True
classification,pr_auc,torch_mlp,conflicts,0.05,81,0.020147969724463057,0.02008033854277591,0.019431591294958476,0.01591620095356099,0.024379738495365125,0.8024691358024691,degrade,7.92454479848548e-12,1.9723311498452752e-11,True
classification,pr_auc,torch_mlp,conflicts,0.1,81,0.029988189933191356,0.028644948746821802,0.021460103646406634,0.025314656250196133,0.03466172361618658,0.9012345679012346,degrade,6.164918209182493e-14,3.7662045787005774e-13,True
classification,pr_auc,torch_mlp,conflicts,0.2,81,0.043359627931031854,0.049813224751167784,0.03489123282376895,0.03576109278274439,0.050958163079319316,0.9259259259259259,degrade,2.9685059715165643e-12,8.31181672024638e-12,True
classification,pr_auc,torch_mlp,conflicts,0.5,81,0.10369881430663809,0.10938878743362213,0.060073437087955275,0.09061615467415005,0.11678147393912613,0.9629629629629629,degrade,8.773442799253203e-15,6.40842778380234e-14,True
classification,pr_auc,torch_mlp,conflicts,1.0,81,0.28099606856911735,0.3014021646266013,0.14576636027003798,0.24925139455475354,0.31274074258348117,0.9753086419753086,degrade,3.3544113134269244e-15,3.2202348608898475e-14,True
classification,pr_auc,torch_mlp,contamination,0.01,81,-0.010746987576614823,-0.0034026461198554125,0.030416886912681598,-0.017371109615376593,-0.004122865537853054,0.345679012345679,inflate,1.8391632308516975e-05,2.6184696846024168e-05,True
classification,pr_auc,torch_mlp,contamination,0.02,81,-0.015368579888529578,-0.005059914841839874,0.04563601973489567,-0.02530709085301797,-0.005430068924041187,0.3333333333333333,inflate,2.347541021160398e-05,3.286557429624558e-05,True
