family,task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,positive_rate
moleculenet,classification,pr_auc,torch_mlp,cliffs,0.1,9,0.011814661742286507,0.013210797475163294,0.5555555555555556
moleculenet,classification,pr_auc,torch_mlp,cliffs,0.2,9,0.01437476969435479,0.009654465045737526,0.6666666666666666
moleculenet,classification,pr_auc,torch_mlp,cliffs,0.5,9,0.05552650362609622,0.022600473480130834,0.6666666666666666
moleculenet,classification,pr_auc,torch_mlp,cliffs,1.0,9,0.07573540799622787,0.036460241006836286,0.8888888888888888
moleculenet,classification,pr_auc,torch_mlp,conflicts,0.01,9,0.0025250116479184227,0.006960722174387923,0.6666666666666666
moleculenet,classification,pr_auc,torch_mlp,conflicts,0.02,9,0.023734001022699618,0.027699428817586802,1.0
moleculenet,classification,pr_auc,torch_mlp,conflicts,0.05,9,0.02609185410058321,0.02357501180871238,0.8888888888888888
moleculenet,classification,pr_auc,torch_mlp,conflicts,0.1,9,0.043543724726133465,0.029341181080825396,1.0
moleculenet,classification,pr_auc,torch_mlp,conflicts,0.2,9,0.046782465551269255,0.050040055002269684,1.0
moleculenet,classification,pr_auc,torch_mlp,conflicts,0.5,9,0.10672124669944455,0.11345396144088238,1.0
moleculenet,classification,pr_auc,torch_mlp,conflicts,1.0,9,0.251800793369974,0.2312626891255925,1.0
moleculenet,classification,pr_auc,torch_mlp,contamination,0.01,9,-0.012160623753005834,-0.004899419936666538,0.3333333333333333
moleculenet,classification,pr_auc,torch_mlp,contamination,0.02,9,-0.003979319009064536,0.0019428293274406094,0.5555555555555556
moleculenet,classification,pr_auc,torch_mlp,contamination,0.05,9,-0.02957959285847098,-0.01731081785917421,0.2222222222222222
moleculenet,classification,pr_auc,torch_mlp,contamination,0.1,9,-0.04241374283771079,-0.016214194193940212,0.1111111111111111
moleculenet,classification,pr_auc,torch_mlp,contamination,0.2,9,-0.08547334440740212,-0.059556122596325145,0.0
moleculenet,classification,pr_auc,torch_mlp,contamination,0.5,9,-0.20444780969367937,-0.15278893430513762,0.0
moleculenet,classification,pr_auc,torch_mlp,contamination,1.0,9,-0.3670274547129395,-0.25789706383889455,0.0
moleculenet,classification,pr_auc,torch_mlp,random_label_noise,0.01,9,0.0041472343804986106,0.002331998987191053,0.6666666666666666
moleculenet,classification,pr_auc,torch_mlp,random_label_noise,0.02,9,0.009037932953272135,0.010196611236625075,0.6666666666666666
moleculenet,classification,pr_auc,torch_mlp,random_label_noise,0.05,9,0.015485920167358145,0.011899216506410792,0.8888888888888888
moleculenet,classification,pr_auc,torch_mlp,random_label_noise,0.1,9,0.025935073967880792,0.007197996545761698,0.6666666666666666
moleculenet,classification,pr_auc,torch_mlp,random_label_noise,0.2,9,0.05922465312640421,0.05132185890493213,1.0
moleculenet,classification,pr_auc,torch_mlp,random_label_noise,0.5,9,0.13774675273032125,0.147076722342114,1.0
moleculenet,classification,pr_auc,torch_mlp,random_label_noise,1.0,9,0.26230464482321814,0.24415601351895827,1.0
moleculenet,classification,roc_auc,lgbm,cliffs,0.01,9,-0.0006224926410943619,0.0,0.3333333333333333
moleculenet,classification,roc_auc,lgbm,cliffs,0.02,9,9.114845320234988e-05,0.0004965243296922717,0.5555555555555556
moleculenet,classification,roc_auc,lgbm,cliffs,0.05,9,-0.0015076339297813465,-0.0018619662363456024,0.4444444444444444
moleculenet,classification,roc_auc,lgbm,cliffs,0.1,9,0.005988700310887385,0.005503144654087966,0.8888888888888888
moleculenet,classification,roc_auc,lgbm,cliffs,0.2,9,0.010467761504018958,0.0077319587628866815,0.8888888888888888
moleculenet,classification,roc_auc,lgbm,cliffs,0.5,9,0.022322669477836517,0.012889382167961538,0.7777777777777778
moleculenet,classification,roc_auc,lgbm,cliffs,1.0,9,0.04923592271699041,0.02693118756936741,1.0
moleculenet,classification,roc_auc,lgbm,conflicts,0.01,9,0.003301204010270268,0.0042073621901590474,0.5555555555555556
moleculenet,classification,roc_auc,lgbm,conflicts,0.02,9,0.00966022206654946,0.009912767644726483,0.8888888888888888
moleculenet,classification,roc_auc,lgbm,conflicts,0.05,9,0.013355168513142482,0.005958291956305817,0.5555555555555556
moleculenet,classification,roc_auc,lgbm,conflicts,0.1,9,0.024466272375397606,0.022272475027746985,1.0
moleculenet,classification,roc_auc,lgbm,conflicts,0.2,9,0.021653062168197908,0.031179245283018853,0.7777777777777778
moleculenet,classification,roc_auc,lgbm,conflicts,0.5,9,0.0787314405417445,0.09298176050753382,1.0
moleculenet,classification,roc_auc,lgbm,conflicts,1.0,9,0.3387426952956708,0.34694637537239326,1.0
moleculenet,classification,roc_auc,lgbm,contamination,0.01,9,-0.006840057311222429,-0.006688864224935309,0.1111111111111111
moleculenet,classification,roc_auc,lgbm,contamination,0.02,9,-0.004303927194425936,-0.003509988901220895,0.1111111111111111
moleculenet,classification,roc_auc,lgbm,contamination,0.05,9,-0.011102567017547823,-0.009806355511420062,0.0
moleculenet,classification,roc_auc,lgbm,contamination,0.1,9,-0.017300778666274726,-0.015019860973187638,0.1111111111111111
moleculenet,classification,roc_auc,lgbm,contamination,0.2,9,-0.039044949998017726,-0.03667724028548758,0.0
moleculenet,classification,roc_auc,lgbm,contamination,0.5,9,-0.09133792985606515,-0.09692563817980016,0.0
moleculenet,classification,roc_auc,lgbm,contamination,1.0,9,-0.16022111035237463,-0.15305362462760674,0.0
moleculenet,classification,roc_auc,lgbm,random_label_noise,0.01,9,0.0050385701760794245,0.003464668886422495,0.6666666666666666
moleculenet,classification,roc_auc,lgbm,random_label_noise,0.02,9,0.0064784504645773395,0.00766925638179794,0.7777777777777778
moleculenet,classification,roc_auc,lgbm,random_label_noise,0.05,9,0.010164482675579962,0.009010358860525258,0.8888888888888888
moleculenet,classification,roc_auc,lgbm,random_label_noise,0.1,9,0.008085728961418435,0.0031465038845727156,0.8888888888888888
moleculenet,classification,roc_auc,lgbm,random_label_noise,0.2,9,0.016120515605274548,0.008494265630780595,0.7777777777777778
moleculenet,classification,roc_auc,lgbm,random_label_noise,0.5,9,0.11032471013973903,0.1036875495638383,1.0
moleculenet,classification,roc_auc,lgbm,random_label_noise,1.0,9,0.36270312484266454,0.3440538290788014,1.0
moleculenet,classification,roc_auc,rf,cliffs,0.01,9,0.0015252660556185596,0.0003965107057890549,0.5555555555555556
moleculenet,classification,roc_auc,rf,cliffs,0.02,9,-0.002513471724305124,-0.002234359483614612,0.3333333333333333
moleculenet,classification,roc_auc,rf,cliffs,0.05,9,0.00046409338130342585,0.001090404440920123,0.5555555555555556
