family,dataset,task_type,model,scenario,seed,fraction,baseline_value,metric,metric_direction,observed_value,degradation,relative_degradation
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0,0.01,0.8767842981760507,roc_auc,higher,0.8708366375892149,0.0059476605868358234,0.006783493499152039
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0,0.02,0.8767842981760507,roc_auc,higher,0.8741078509119746,0.0026764472640761205,0.0030525720746184177
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0,0.05,0.8767842981760507,roc_auc,higher,0.8743061062648692,0.002478191911181593,0.002826455624646683
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0,0.1,0.8767842981760507,roc_auc,higher,0.8715305313243459,0.005253766851704866,0.005992085924250841
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0,0.2,0.8767842981760507,roc_auc,higher,0.853191911181602,0.023592386994448766,0.026907857546636424
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0,0.5,0.8767842981760507,roc_auc,higher,0.7851903251387787,0.09159397303727201,0.10446579988694178
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0,1.0,0.8767842981760507,roc_auc,higher,0.4817605075337033,0.39502379064234744,0.450537026568683
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0,0.01,0.883624107850912,roc_auc,higher,0.8675654242664552,0.016058683584456834,0.018173659412160707
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0,0.02,0.883624107850912,roc_auc,higher,0.8752973830293418,0.008326724821570264,0.00942337895445376
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0,0.05,0.883624107850912,roc_auc,higher,0.8703409992069786,0.01328310864393345,0.015032533094009494
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0,0.1,0.883624107850912,roc_auc,higher,0.8796590007930214,0.00396510705789066,0.004487323311644713
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0,0.2,0.883624107850912,roc_auc,higher,0.845360824742268,0.03826328310864402,0.043302669957370525
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0,0.5,0.883624107850912,roc_auc,higher,0.7799365582870738,0.1036875495638383,0.11734350459950647
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0,1.0,0.883624107850912,roc_auc,higher,0.4555908009516257,0.42803330689928637,0.48440655149203504
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0,0.01,0.8298969072164949,roc_auc,higher,0.8187946074544012,0.011102299762093648,0.013377926421404767
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0,0.02,0.8298969072164949,roc_auc,higher,0.8207771609833465,0.009119746233148374,0.010989010989011084
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0,0.05,0.8298969072164949,roc_auc,higher,0.8144329896907216,0.015463917525773252,0.018633540372670874
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0,0.1,0.8298969072164949,roc_auc,higher,0.8207771609833466,0.009119746233148263,0.01098901098901095
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0,0.2,0.8298969072164949,roc_auc,higher,0.7714115781126091,0.05848532910388582,0.07047300525561397
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0,0.5,0.8298969072164949,roc_auc,higher,0.7004361617763679,0.12946074544012698,0.15599617773530827
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0,1.0,0.8298969072164949,roc_auc,higher,0.4901863600317209,0.339710547184774,0.40934065934065933
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1,0.01,0.8729183187946076,roc_auc,higher,0.8779738302934179,-0.005055511498810339,-0.005791505791505643
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1,0.02,0.8729183187946076,roc_auc,higher,0.8687549563838224,0.004163362410785187,0.004769475357710762
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1,0.05,0.8729183187946076,roc_auc,higher,0.8769825535289453,-0.004064234734337702,-0.004655916420622159
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1,0.1,0.8729183187946076,roc_auc,higher,0.8687549563838224,0.004163362410785187,0.004769475357710762
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1,0.2,0.8729183187946076,roc_auc,higher,0.8846153846153847,-0.01169706582077712,-0.013399954576425115
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1,0.5,0.8729183187946076,roc_auc,higher,0.8223632038065029,0.05055511498810472,0.05791505791505796
moleculenet,MoleculeNet-BACE,classification,rf,conflicts,1,1.0,0.8729183187946076,roc_auc,higher,0.461340206185567,0.4115781126090406,0.47149670679082456
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1,0.01,0.883624107850912,roc_auc,higher,0.8788659793814433,0.00475812846946877,0.005384787973973631
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1,0.02,0.883624107850912,roc_auc,higher,0.8737113402061856,0.009912767644726483,0.011218308279111595
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1,0.05,0.883624107850912,roc_auc,higher,0.8955194290245837,-0.011895321173671647,-0.013461969934933763
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1,0.1,0.883624107850912,roc_auc,higher,0.8713322759714512,0.012291831879460813,0.013910702266098347
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1,0.2,0.883624107850912,roc_auc,higher,0.8994845360824743,-0.015860428231562196,-0.01794929324657835
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1,0.5,0.883624107850912,roc_auc,higher,0.8134417129262489,0.07018239492466316,0.0794256226161097
moleculenet,MoleculeNet-BACE,classification,lgbm,conflicts,1,1.0,0.883624107850912,roc_auc,higher,0.5,0.38362410785091206,0.4341485304016155
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1,0.01,0.8314829500396511,roc_auc,higher,0.83406026962728,-0.002577319587628857,-0.003099666189794934
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1,0.02,0.8314829500396511,roc_auc,higher,0.8088818398096749,0.02260111022997624,0.02718168812589417
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1,0.05,0.8314829500396511,roc_auc,higher,0.8267248215701825,0.004758128469468659,0.005722460658082955
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1,0.1,0.8314829500396511,roc_auc,higher,0.8120539254559873,0.0194290245836638,0.023366714353838868
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1,0.2,0.8314829500396511,roc_auc,higher,0.8140364789849326,0.017446471054718526,0.0209823557463043
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1,0.5,0.8314829500396511,roc_auc,higher,0.7418715305313244,0.08961141950832674,0.10777300906056272
moleculenet,MoleculeNet-BACE,classification,torch_mlp,conflicts,1,1.0,0.8314829500396511,roc_auc,higher,0.4979183187946074,0.3335646312450437,0.401168335717692
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1,0.01,0.8729183187946076,roc_auc,higher,0.8725218080888185,0.0003965107057890549,0.00045423574835339373
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1,0.02,0.8729183187946076,roc_auc,higher,0.8678628072957969,0.005055511498810672,0.0057915057915060245
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1,0.05,0.8729183187946076,roc_auc,higher,0.8780729579698652,-0.005154639175257603,-0.005905064728593991
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1,0.1,0.8729183187946076,roc_auc,higher,0.8636003172085647,0.009318001586042901,0.01067454008630488
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1,0.2,0.8729183187946076,roc_auc,higher,0.8829302141157811,-0.010011895321173525,-0.011469452645923065
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1,0.5,0.8729183187946076,roc_auc,higher,0.8098731165741475,0.06304520222046006,0.07222348398818998
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1,1.0,0.8729183187946076,roc_auc,higher,0.736122125297383,0.1367961934972246,0.1567113331819216
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,1,0.01,0.883624107850912,roc_auc,higher,0.8778747026169706,0.005749405233941407,0.006506618801884778
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,1,0.02,0.883624107850912,roc_auc,higher,0.8850118953211736,-0.0013877874702615811,-0.00157056315907548
