mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975,dataset,family,task,metric_name,sota_model
leakage_curve,0.75,ecfp_rf,0.0,3.5,3.0,3.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.75,lgbm_advanced,0.0,3.5,3.0,3.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.75,lgbm_basic,0.0,3.5,3.0,3.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.75,torch_mlp_advanced,0.0,3.5,3.5,3.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.75,torch_mlp_basic,0.0,3.5,3.0,3.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,observed,ecfp_linear,0.008,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,observed,ecfp_rf,0.043,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,observed,lgbm_advanced,0.006,3.5,1.9875000000000007,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,observed,lgbm_basic,0.004,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,observed,torch_mlp_advanced,0.029,3.5,1.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,observed,torch_mlp_basic,0.004,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
observed_composition,observed,ecfp_linear,0.0,6.0,6.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
observed_composition,observed,ecfp_rf,1.0,1.0,1.0,1.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
observed_composition,observed,lgbm_advanced,0.0,2.0,2.0,2.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
