mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive,dataset,family,task,metric_name,sota_model,baseline_model
leakage_curve,observed,0.0732177275461771,0.073890128724416,-0.0116214380687786,0.1551016863730676,0.955,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
observed_composition,observed,0.0641372882465981,0.0641372882465981,0.0641372882465981,0.0641372882465981,1.0,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0661520084711819,0.066003408572509,-0.0153891596113256,0.1525321724546333,0.94,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.0625332550300696,0.0635446404248363,-0.0172549631405931,0.1448470557049299,0.923,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.065848390171719,0.0672458221689288,-0.0204174016621288,0.1449152963040694,0.933,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.0655247718226067,0.0654478698691683,-0.0159517938308436,0.1485288507799371,0.939,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.065182108916304,0.0670285773588368,-0.0245231430362757,0.150686633655011,0.917,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.0653186850200258,0.0658562930127745,-0.0277542538295091,0.150309460486982,0.932,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.0645341378391564,0.0668148530587353,-0.0203147559862651,0.1461259644817438,0.921,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
clean_reference,0.0,0.004779189352692,0.004779189352692,0.004779189352692,0.004779189352692,1.0,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
conflict_curve,0.0,0.0105,0.0,-0.4,0.3,0.301,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
conflict_curve,0.05,0.0045,0.0,-0.4,0.3024999999999977,0.29,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
conflict_curve,0.1,0.1004999999999999,0.0833333333333333,-0.1677083333333333,0.4166666666666667,0.63,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
conflict_curve,0.25,0.09765,0.0999999999999999,-0.2,0.4,0.602,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
conflict_curve,0.5,0.0740416666666666,0.0833333333333333,-0.1666666666666666,0.3333333333333333,0.62,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
conflict_curve,0.75,0.0535,0.0833333333333333,-0.1666666666666666,0.25,0.557,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
conflict_curve,observed,-0.0013999999999999,0.0,-0.4,0.3,0.271,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.0,0.005476923076923,0.005982905982906,-0.0803846153846155,0.0923290598290598,0.55,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.05,0.0008508928571428,0.0035714285714285,-0.0928794642857143,0.0821428571428571,0.535,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.1,0.00058547008547,-0.0008547008547009,-0.0820512820512819,0.0803418803418803,0.483,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.25,-0.0120375234521575,-0.0084427767354597,-0.1069652908067541,0.0656660412757973,0.428,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.5,-0.0215843253968253,-0.0158730158730159,-0.1031746031746031,0.0397073412698412,0.296,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,0.75,-0.0249261363636363,-0.0136363636363636,-0.1034374999999999,0.0181818181818181,0.189,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
leakage_curve,observed,0.0008846153846153,0.0017094017094017,-0.0837606837606836,0.0769444444444444,0.515,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
observed_composition,observed,0.013759403330547,0.013759403330547,0.013759403330547,0.013759403330547,1.0,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.0,0.0144526785714285,0.0,-0.2,0.3,0.448,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.05,0.0129241071428571,0.0,-0.2,0.3,0.4445,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.1,0.0147267857142857,0.0,-0.1999999999999999,0.25,0.4475,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.25,0.0135383928571428,0.0,-0.2,0.2999999999999999,0.4495,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.5,0.0136017857142857,0.0,-0.2,0.2,0.453,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,0.75,0.0164741071428571,0.0,-0.1999999999999999,0.25,0.4555,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
random_matched_control,observed,0.0138424107142857,0.0,-0.2,0.2499999999999999,0.456,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic,ecfp_rf
clean_reference,0.0,0.0395299145299145,0.0395299145299145,0.0395299145299145,0.0395299145299145,1.0,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
leakage_curve,0.0,0.0628333333333333,0.0,-0.3333333333333333,0.6666666666666667,0.258,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
leakage_curve,0.05,0.0406666666666666,0.0,-0.3333333333333333,0.6666666666666667,0.229,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
leakage_curve,0.1,0.0348333333333333,0.0,-0.6666666666666666,0.6666666666666667,0.218,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
leakage_curve,0.25,0.064,0.0,-0.3333333333333333,0.6666666666666667,0.247,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
leakage_curve,0.5,0.0325,0.0,-0.25,0.5,0.182,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
leakage_curve,0.75,0.0,0.0,0.0,0.0,0.0,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
leakage_curve,observed,0.0455,0.0,-0.6666666666666666,0.6666666666666667,0.23,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
observed_composition,observed,0.0897660818713449,0.0897660818713449,0.0897660818713449,0.0897660818713449,1.0,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
random_matched_control,0.0,0.0751666666666666,0.0,-0.6666666666666666,0.6666666666666667,0.3,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
random_matched_control,0.05,0.0903333333333333,0.0,-0.3416666666666662,0.6666666666666667,0.305,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
random_matched_control,0.1,0.0896666666666666,0.0,-0.3333333333333333,0.6666666666666667,0.296,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
random_matched_control,0.25,0.1016666666666666,0.0,-0.6666666666666666,1.0,0.31,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
random_matched_control,0.5,0.0963333333333333,0.0,-0.3333333333333333,0.6666666666666667,0.302,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
random_matched_control,0.75,0.0855,0.0,-0.3333333333333333,0.6666666666666667,0.298,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
random_matched_control,observed,0.109,0.0,-0.3333333333333333,1.0,0.307,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear,ecfp_rf
clean_reference,0.0,0.0161592614422801,0.0161592614422801,0.0161592614422801,0.0161592614422801,1.0,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.0,0.01525,0.0,-0.5,0.5,0.084,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.05,0.02125,0.0,-0.5,0.5,0.092,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.1,0.02075,0.0,-0.5,0.5,0.09,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.25,0.18575,0.0,-0.2562499999999996,1.0,0.368,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.5,,,,,0.0,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.75,,,,,0.0,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced,ecfp_rf
