dataset,task,mode,target_rate,mean_tau,median_tau,ci_lower,ci_upper
tdc/Solubility_AqSolDB,regression,leakage_curve,0.0,0.8586666666666665,0.8666666666666666,0.6,1.0
tdc/Solubility_AqSolDB,regression,leakage_curve,observed,0.8415999999999999,0.8666666666666666,0.6,1.0
tdc/Solubility_AqSolDB,regression,leakage_curve,0.75,0.7579999999999999,0.7333333333333333,0.6,0.8666666666666666
tdc/Solubility_AqSolDB,regression,conflict_curve,observed,0.8101333333333333,0.8666666666666666,0.6,1.0
tdc/Solubility_AqSolDB,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/VDss_Lombardo,regression,clean_reference,0.0,0.5999999999999998,0.6,0.6,0.6
tdc/VDss_Lombardo,regression,leakage_curve,0.0,0.3711999999999999,0.3333333333333333,-0.2,0.8666666666666666
tdc/VDss_Lombardo,regression,leakage_curve,observed,0.4041333333333333,0.4666666666666666,-0.2,1.0
tdc/VDss_Lombardo,regression,leakage_curve,0.75,0.3,0.3333333333333333,-0.3333333333333333,0.8666666666666666
tdc/VDss_Lombardo,regression,conflict_curve,observed,0.2795999999999999,0.3333333333333333,-0.4666666666666666,0.8666666666666666
tdc/VDss_Lombardo,regression,observed_composition,observed,1.0,1.0,1.0,1.0
