dataset,family,task,metric,model,perf_delta_075_minus_0,score_delta_075_minus_0
tdc/Caco2_Wang,tdc,regression,rmse,ecfp_rf,0.14323080675576716,-0.14323080675576716
tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced,0.14578662226733752,-0.14578662226733752
tdc/Caco2_Wang,tdc,regression,rmse,lgbm_basic,0.17542967913796004,-0.17542967913796004
tdc/Caco2_Wang,tdc,regression,rmse,torch_mlp_advanced,0.47569929614889395,-0.47569929614889395
tdc/Caco2_Wang,tdc,regression,rmse,torch_mlp_basic,0.6417613545900568,-0.6417613545900568
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_linear,26.172280088886644,-26.172280088886644
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf,17.291633322661845,-17.291633322661845
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,lgbm_advanced,16.437275311268223,-16.437275311268223
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,lgbm_basic,17.65925592733074,-17.65925592733074
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,torch_mlp_advanced,13.436909406652084,-13.436909406652084
tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,torch_mlp_basic,15.934286812461004,-15.934286812461004
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,ecfp_linear,21.45792342390026,-21.45792342390026
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,ecfp_rf,5.903994417712447,-5.903994417712447
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced,4.175220066722169,-4.175220066722169
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_basic,3.879348419127801,-3.879348419127801
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,torch_mlp_advanced,10.371442259559835,-10.371442259559835
tdc/Clearance_Microsome_AZ,tdc,regression,rmse,torch_mlp_basic,11.064195357424055,-11.064195357424055
tdc/HIA_Hou,tdc,classification,auroc,ecfp_linear,,
tdc/HIA_Hou,tdc,classification,auroc,ecfp_rf,,
tdc/HIA_Hou,tdc,classification,auroc,lgbm_advanced,,
tdc/HIA_Hou,tdc,classification,auroc,lgbm_basic,,
tdc/HIA_Hou,tdc,classification,auroc,torch_mlp_advanced,,
tdc/HIA_Hou,tdc,classification,auroc,torch_mlp_basic,,
tdc/Half_Life_Obach,tdc,regression,rmse,ecfp_linear,-44.250178580565304,44.250178580565304
tdc/Half_Life_Obach,tdc,regression,rmse,ecfp_rf,-123.37677339486018,123.37677339486018
tdc/Half_Life_Obach,tdc,regression,rmse,lgbm_advanced,-113.7561928081648,113.7561928081648
tdc/Half_Life_Obach,tdc,regression,rmse,lgbm_basic,-152.28414995345057,152.28414995345057
tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_advanced,-75.60078940894626,75.60078940894626
tdc/Half_Life_Obach,tdc,regression,rmse,torch_mlp_basic,-58.222496737113836,58.222496737113836
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,ecfp_linear,1.375648688746258,-1.375648688746258
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,ecfp_rf,1.3598886857726071,-1.3598886857726071
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,lgbm_advanced,0.8752414871726406,-0.8752414871726406
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,lgbm_basic,0.7392938977084684,-0.7392938977084684
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,torch_mlp_advanced,1.4087202040239495,-1.4087202040239495
tdc/HydrationFreeEnergy_FreeSolv,tdc,regression,rmse,torch_mlp_basic,1.4611402297321767,-1.4611402297321767
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,ecfp_linear,0.5347394243666093,-0.5347394243666093
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,ecfp_rf,0.31079597472247955,-0.31079597472247955
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_advanced,0.2845402755821882,-0.2845402755821882
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,lgbm_basic,0.2508793720548078,-0.2508793720548078
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,torch_mlp_advanced,0.30712891623351646,-0.30712891623351646
tdc/Lipophilicity_AstraZeneca,tdc,regression,rmse,torch_mlp_basic,0.3171283413452476,-0.3171283413452476
tdc/PAMPA_NCATS,tdc,classification,auroc,ecfp_linear,0.13567355889724309,0.13567355889724309
tdc/PAMPA_NCATS,tdc,classification,auroc,ecfp_rf,0.10028289473684215,0.10028289473684215
tdc/PAMPA_NCATS,tdc,classification,auroc,lgbm_advanced,0.12074310776942354,0.12074310776942354
tdc/PAMPA_NCATS,tdc,classification,auroc,lgbm_basic,0.11940601503759407,0.11940601503759407
tdc/PAMPA_NCATS,tdc,classification,auroc,torch_mlp_advanced,0.1766387844611529,0.1766387844611529
tdc/PAMPA_NCATS,tdc,classification,auroc,torch_mlp_basic,0.15210933583959896,0.15210933583959896
tdc/PPBR_AZ,tdc,regression,rmse,ecfp_linear,13.536045891206946,-13.536045891206946
tdc/PPBR_AZ,tdc,regression,rmse,ecfp_rf,7.687876015441326,-7.687876015441326
tdc/PPBR_AZ,tdc,regression,rmse,lgbm_advanced,7.104663813267374,-7.104663813267374
tdc/PPBR_AZ,tdc,regression,rmse,lgbm_basic,6.7282206123449,-6.7282206123449
tdc/PPBR_AZ,tdc,regression,rmse,torch_mlp_advanced,9.77183259185048,-9.77183259185048
tdc/PPBR_AZ,tdc,regression,rmse,torch_mlp_basic,10.512127253238512,-10.512127253238512
tdc/Pgp_Broccatelli,tdc,classification,auroc,ecfp_linear,0.13909549274884647,0.13909549274884647
tdc/Pgp_Broccatelli,tdc,classification,auroc,ecfp_rf,0.11214900296638097,0.11214900296638097
tdc/Pgp_Broccatelli,tdc,classification,auroc,lgbm_advanced,0.1203332069874753,0.1203332069874753
tdc/Pgp_Broccatelli,tdc,classification,auroc,lgbm_basic,0.14004501483190512,0.14004501483190512
tdc/Pgp_Broccatelli,tdc,classification,auroc,torch_mlp_advanced,0.18224278180619646,0.18224278180619646
tdc/Pgp_Broccatelli,tdc,classification,auroc,torch_mlp_basic,0.19348627224785753,0.19348627224785753
tdc/Solubility_AqSolDB,tdc,regression,rmse,ecfp_linear,0.3944901537418102,-0.3944901537418102
tdc/Solubility_AqSolDB,tdc,regression,rmse,ecfp_rf,0.2830143253866626,-0.2830143253866626
tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced,0.23831910085307229,-0.23831910085307229
tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_basic,0.19266884440875187,-0.19266884440875187
tdc/Solubility_AqSolDB,tdc,regression,rmse,torch_mlp_advanced,0.33850492067644655,-0.33850492067644655
tdc/Solubility_AqSolDB,tdc,regression,rmse,torch_mlp_basic,0.4943586061254319,-0.4943586061254319
tdc/VDss_Lombardo,tdc,regression,rmse,ecfp_linear,3.8390300217594833,-3.8390300217594833
tdc/VDss_Lombardo,tdc,regression,rmse,ecfp_rf,2.635278506226124,-2.635278506226124
tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_advanced,2.7134046911234604,-2.7134046911234604
tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic,2.384394364837713,-2.384394364837713
tdc/VDss_Lombardo,tdc,regression,rmse,torch_mlp_advanced,2.3560791707572992,-2.3560791707572992
tdc/VDss_Lombardo,tdc,regression,rmse,torch_mlp_basic,2.8834749838662286,-2.8834749838662286
