mode,original_observed_rate,smallest_target_rate_sota_rank_probability_below_0_5,smallest_target_rate_sota_baseline_ci_includes_zero,smallest_target_rate_fraction_delta_positive_below_0_95,interpretation,interpretation_text,dataset,family,task,metric_name,sota_model
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced
leakage_curve,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced
random_matched_control,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced
leakage_curve,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Caco2_Wang,tdc,regression,rmse,lgbm_advanced
clean_reference,,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf
random_matched_control,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/Clearance_Hepatocyte_AZ,tdc,regression,rmse,ecfp_rf
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Clearance_Microsome_AZ,tdc,regression,rmse,lgbm_advanced
