task_type,model,scenario,fraction,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,n_eval_rows_mean,n_eval_rows_std,positive_rate_mean,positive_rate_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,median_ae_mean,median_ae_std,r2_mean,r2_std,explained_variance_mean,explained_variance_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_tau_mean,kendall_tau_std,max_error_mean,max_error_std,n_eval_rows_mean,n_eval_rows_std
classification,lgbm,contamination,0.1,0.8716076528281966,0.08603348084290086,0.8371991543850497,0.15606595084676547,0.8371991543850497,0.15606595084676547,0.7849228923926829,0.09603480614879635,0.8392987925946142,0.07371574578502653,0.7742631898553678,0.15699883350256566,0.8075118257715599,0.13227365466454163,0.7589339672562401,0.18398937835789567,0.5993591654499633,0.1758644568467276,0.4437190365705136,0.17947919444169336,0.12192808843828816,0.05276184573100783,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,contamination,0.2,0.8920243490612828,0.0754562503171815,0.8630713539647069,0.13731043168426146,0.8630713539647069,0.13731043168426146,0.811755266606953,0.08848402298267327,0.859895418119873,0.06570506809993572,0.8038697703282395,0.1390253274303927,0.8331180776786872,0.11397932016867586,0.7902349465356764,0.16656551377834355,0.6510457589869583,0.15730282270315663,0.396104646868107,0.1647467556735232,0.1080592579613953,0.04818809414287103,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,contamination,0.5,0.9424475801997981,0.040563612503965,0.9201903250845037,0.08648129378164968,0.9201903250845037,0.08648129378164968,0.8774545583239944,0.061705043572362166,0.9102056663334068,0.03966287996390656,0.8717206028179783,0.09663843460592698,0.8939960579320333,0.06738660781840843,0.8606844890089671,0.12747589960612843,0.7767436011635177,0.09585222927568257,0.26606986006969874,0.10254958109690276,0.07166585269261573,0.030457277012290406,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,contamination,1.0,0.9952831022013843,0.007468851306413637,0.9902687609498738,0.017780542447698465,0.9902687609498738,0.017780542447698465,0.9680541395532404,0.05363636349322473,0.9803100015712007,0.02622429285729291,0.9617686985646559,0.06923795659970824,0.9785426657717372,0.028743705506701762,0.9511753790544067,0.10218725389206466,0.9468320330470232,0.0763363423980756,0.09140383116656851,0.08259131883961655,0.020861147521816097,0.02305812363779243,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,0.0,0.830319432118475,0.11725531037711118,0.7942743340121021,0.18352460156737146,0.7942743340121021,0.18352460156737146,0.7432637512498305,0.11161436374394432,0.8011948946908474,0.10403669348361812,0.7211739242792529,0.1869162286342268,0.7708427241544474,0.15921440732663275,0.7029906334250682,0.21936732891928015,0.5183543557380074,0.2144972913257555,0.5263277655871877,0.2256717933706979,0.14714474405852254,0.06930102180982346,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,0.01,0.8285279024680398,0.11419069555836127,0.7927766011166912,0.18287072892191616,0.7927766011166912,0.18287072892191616,0.7414149254948423,0.11110457042375135,0.8002303756827804,0.10418159421079422,0.7205224888571886,0.18419125945300607,0.7703788827685365,0.15586303705770968,0.7027782213163376,0.21862579609382046,0.5161306640211534,0.2129552221483554,0.5251458264459486,0.21620380364457803,0.14716770176335192,0.06727464119809823,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,0.02,0.8266522680726054,0.11634262240985947,0.7896313017548309,0.1852900228255441,0.7896313017548309,0.1852900228255441,0.7403833114032784,0.11153063293905965,0.8000704149380681,0.10362493944590268,0.717863743637407,0.18928058731844652,0.7706953894707899,0.15963024391917816,0.6995764478356185,0.22331555714908377,0.515218061714274,0.213956825242801,0.5262144407387013,0.2212502604011473,0.14863454548249402,0.06831416235670834,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,0.05,0.8221953082872601,0.1180578499462482,0.7850798449863045,0.1877149548961532,0.7850798449863045,0.1877149548961532,0.7344292961986109,0.11274431408413264,0.7950256021698022,0.1041154944291076,0.7110687841933303,0.19116928094988855,0.7672171434488801,0.16275644081500507,0.690741058411029,0.22361988059609672,0.5022025407974037,0.21458572136598916,0.5231869494702347,0.21361755735315202,0.15043643059608378,0.06751490485707318,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,0.1,0.8165549578899508,0.11553994296413114,0.7793182944231404,0.18551336393175227,0.7793182944231404,0.18551336393175227,0.7296694542455184,0.10896001906853148,0.792326049176296,0.1004318979879803,0.7036627749315926,0.19483980284979488,0.7606254439345042,0.15926993879548482,0.6833065102875576,0.2306071806500099,0.49461611580573456,0.2090389861275104,0.5175995627045362,0.2099147351309357,0.15179002005302575,0.06605553469975012,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,0.2,0.8032273508552192,0.11529884409165027,0.7636301211953054,0.18415429565337527,0.7636301211953054,0.18415429565337527,0.7131627379235415,0.10785386491656819,0.7807183289894096,0.10286853811547025,0.6871392984459301,0.19737332353108628,0.7524294429269981,0.1579331099637337,0.6656829831877824,0.23498139249788821,0.4650584360866163,0.20457910101917198,0.5318816195314782,0.2109684296067935,0.15884787889749472,0.06643776050381041,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,0.5,0.7354119340268273,0.10184559124216706,0.6941061571234294,0.18224311506925092,0.6941061571234294,0.18224311506925092,0.6537851755710512,0.09249919988184215,0.7372867048577805,0.09670252215604287,0.613208230705888,0.21956660588323523,0.6967132127556066,0.146625341503099,0.5906171924929159,0.2620307257892585,0.3444021298979242,0.17043622785870272,0.6046265837758316,0.17000547350974693,0.18813253945610972,0.05673461794260452,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,random_label_noise,1.0,0.49551906154482367,0.04703997697114347,0.4729551716723126,0.19170881584029098,0.4729551716723126,0.19170881584029098,0.49875618083121254,0.023982038483083036,0.5999646916231338,0.12877706628484345,0.41627201037301426,0.244350454992814,0.4596919785480914,0.20052186811466094,0.4058831302980133,0.28242564699199907,-0.0036237362055035753,0.05923816144612056,0.8016110268395833,0.18546347095049,0.2597467774418686,0.06729320501423758,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,rf,cliffs,0.0,0.837041721739266,0.10429730240249917,0.8008918399461673,0.17763770904858298,0.8008918399461673,0.17763770904858298,0.7254244949917806,0.11817703926723033,0.8028704198215562,0.09817507863862679,0.686687782250381,0.23939177531853878,0.8053067597469108,0.12703630615402559,0.6625129768778387,0.2864921639164014,0.5084419109429172,0.1987697471398027,0.426488252665134,0.14751320200077866,0.13724757621478628,0.05649521515076198,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,rf,cliffs,0.01,0.8361529546266381,0.10515068892722952,0.7998117054652883,0.17818645668684435,0.7998117054652883,0.17818645668684435,0.7245443644637508,0.11985151774670005,0.8017334574274175,0.10073206095579414,0.6864163553162976,0.23845417569542632,0.8021744688773266,0.1321906004546592,0.6624752298294975,0.2862705810099455,0.5060898522861499,0.204089762741258,0.42698314230645296,0.14723812503590064,0.13732425619195154,0.05651827995703889,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,rf,cliffs,0.02,0.8357058583529406,0.10633024953382368,0.7994861373431585,0.17855040012220216,0.7994861373431585,0.17855040012220216,0.7241701933719308,0.11967811116646732,0.8016457771613286,0.10056165440116416,0.6846033964111705,0.2412262386267634,0.8044332191892452,0.12887225111942874,0.6606888800468722,0.2882462486119697,0.5058074942865358,0.2034506251570794,0.42695725792252415,0.14698653244527007,0.13722081321477092,0.05644867993960381,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,rf,cliffs,0.05,0.8351985017323486,0.10630108947317535,0.7994304773223727,0.1780982056593031,0.7994304773223727,0.1780982056593031,0.7242588041524022,0.11846061284379392,0.8014087420904195,0.09979531753886889,0.6858846944422368,0.23743064701101943,0.8061625551376735,0.12748394335227847,0.661173387639106,0.28563838519516843,0.5059636104146866,0.19999746978697894,0.4272137154549655,0.1474614983761634,0.1375112919013036,0.05660981861655053,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
