family,dataset,task_type,model,scenario,fraction,seed,n_train_original,n_train_noisy,n_test,n_conflicts_added,roc_auc,pr_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,mcc,log_loss,brier_score,n_eval_rows,positive_rate,mse,rmse,mae,median_ae,r2,explained_variance,pearson,spearman,kendall_tau,max_error,error,n_cliffs_modified,n_cliff_candidates,n_contamination_added,n_random_labels_modified
moleculenet,MoleculeNet-BACE,classification,rf,cliffs,1.0,0,1332,1332,149,,0.8032315622521807,0.6847142965903912,0.6847142965903912,0.7231363996827915,0.738255033557047,0.6422018348623854,0.6140350877192983,0.6730769230769231,0.4376799120915863,0.5271840010958098,0.1779333586068034,149.0,0.348993288590604,,,,,,,,,,,,309.0,526.0,,
moleculenet,MoleculeNet-BACE,classification,lgbm,cliffs,1.0,0,1332,1332,149,,0.7957969865186361,0.710347069675952,0.710347069675952,0.7011300555114988,0.697986577181208,0.6218487394957983,0.5522388059701493,0.7115384615384616,0.3854341406131682,0.5452521149677092,0.18788441580066634,149.0,0.348993288590604,,,,,,,,,,,,309.0,526.0,,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,cliffs,1.0,0,1332,1332,149,,0.6601903251387787,0.5341363408921698,0.5341363408921698,0.6214314036478985,0.6174496644295302,0.5365853658536586,0.4647887323943662,0.6346153846153846,0.23177792688710075,2.1712947384147054,0.3305039694720185,149.0,0.348993288590604,,,,,,,,,,,,309.0,526.0,,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0.0,0,1332,1332,149,,0.8767842981760507,0.7637717742575636,0.7637717742575636,0.8079896907216495,0.825503355704698,0.75,0.75,0.75,0.615979381443299,0.4313572296262526,0.13674812608369222,149.0,0.348993288590604,,,,,,,,,,,,,,0.0,
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0.0,0,1332,1332,149,,0.883624107850912,0.7943591206475977,0.7943591206475977,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4733323766866657,0.13708266974872513,149.0,0.348993288590604,,,,,,,,,,,,,,0.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0.0,0,1332,1332,149,,0.8298969072164949,0.7288894405549033,0.7288894405549033,0.7386003172085647,0.7583892617449665,0.660377358490566,0.6481481481481481,0.6730769230769231,0.47318380123878045,1.2486778332624118,0.20785876747698875,149.0,0.348993288590604,,,,,,,,,,,,,,0.0,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0.01,0,1332,1334,149,,0.8835249801744647,0.7704706659382803,0.7704706659382803,0.7990681998413958,0.825503355704698,0.74,0.7708333333333334,0.7115384615384616,0.6101076431161422,0.4271285500582186,0.13245567069621783,149.0,0.348993288590604,,,,,,,,,,,,,,2.0,
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0.01,0,1332,1334,149,,0.8869944488501189,0.7949389622660668,0.7949389622660668,0.7849920697858843,0.8187919463087249,0.7216494845360825,0.7777777777777778,0.6730769230769231,0.5917351714167676,0.47071362416636686,0.13741729545823367,149.0,0.348993288590604,,,,,,,,,,,,,,2.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0.01,0,1332,1334,149,,0.8350515463917526,0.7386661436111764,0.7386661436111764,0.753370340999207,0.7718120805369127,0.6792452830188679,0.6666666666666666,0.6923076923076923,0.5024751956652774,1.1895891569722425,0.1918007349496619,149.0,0.348993288590604,,,,,,,,,,,,,,2.0,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0.02,0,1332,1335,149,,0.8822363203806503,0.7741969442645708,0.7741969442645708,0.8079896907216495,0.825503355704698,0.75,0.75,0.75,0.615979381443299,0.42099272439156166,0.1325342892923513,149.0,0.348993288590604,,,,,,,,,,,,,,3.0,
